source,sourceLabel,target,targetLabel,relationshipType
http://www.wikidata.org/entity/Q211037,Roeselare,http://www.wikidata.org/entity/Q31,België,In Land
http://www.wikidata.org/entity/Q136734381,Roland Joseph De Meester,http://www.wikidata.org/entity/Q12994,Brugge,Woonplaats
http://www.wikidata.org/entity/Q136734381,Roland Joseph De Meester,http://www.wikidata.org/entity/Q12995,Kortrijk,Sterfteplaats
http://www.wikidata.org/entity/Q136734381,Roland Joseph De Meester,http://www.wikidata.org/entity/Q211037,Roeselare,Geboorteplaats
http://www.wikidata.org/entity/Q2512929,Rollegem,http://www.wikidata.org/entity/Q31,België,In Land
http://www.wikidata.org/entity/Q2352516,Rollegem-Kapelle,http://www.wikidata.org/entity/Q31,België,In Land
http://www.wikidata.org/entity/Q117244395,Romaan Gislijn Gezelle,http://www.wikidata.org/entity/Q12994,Brugge,Geboorteplaats
http://www.wikidata.org/entity/Q117244395,Romaan Gislijn Gezelle,http://www.wikidata.org/entity/Q12994,Brugge,Sterfteplaats
http://www.wikidata.org/entity/Q117244395,Romaan Gislijn Gezelle,http://www.wikidata.org/entity/Q12994,Brugge,Woonplaats
http://www.wikidata.org/entity/Q220,Rome,http://www.wikidata.org/entity/Q38,Italië,In Land
http://www.wikidata.org/entity/Q268219,Ronse,http://www.wikidata.org/entity/Q31,België,In Land
http://www.wikidata.org/entity/Q115844249,Rosalia Verstraete,http://www.wikidata.org/entity/Q1991101,Deftinge,Sterfteplaats
http://www.wikidata.org/entity/Q115844249,Rosalia Verstraete,http://www.wikidata.org/entity/Q3049134,Egem,Geboorteplaats
http://www.wikidata.org/entity/Q34370,Rotterdam,http://www.wikidata.org/entity/Q55,Nederland,In Land
http://www.wikidata.org/entity/Q34001,Roubaix,http://www.wikidata.org/entity/Q142,Frankrijk,In Land
http://www.wikidata.org/entity/Q546635,Royal Leamington Spa,http://www.wikidata.org/entity/Q145,Verenigd Koninkrijk,In Land
http://www.wikidata.org/entity/Q2928815,Ruddervoorde,http://www.wikidata.org/entity/Q31,België,In Land
http://www.wikidata.org/entity/Q696982,Ruiselede,http://www.wikidata.org/entity/Q31,België,In Land
http://www.wikidata.org/entity/Q1704244,Rumbeke,http://www.wikidata.org/entity/Q31,België,In Land
http://www.wikidata.org/entity/Q3453174,Rumillies,http://www.wikidata.org/entity/Q31,België,In Land
http://www.wikidata.org/entity/Q1618770,Rupelmonde,http://www.wikidata.org/entity/Q31,België,In Land
http://www.wikidata.org/entity/Q123050592,Ruth Rose Drew,http://www.wikidata.org/entity/Q12994,Brugge,Woonplaats
http://www.wikidata.org/entity/Q123050592,Ruth Rose Drew,http://www.wikidata.org/entity/Q12994,Brugge,Sterfteplaats
http://www.wikidata.org/entity/Q123050592,Ruth Rose Drew,http://www.wikidata.org/entity/Q1361,Haiderabad,Geboorteplaats
http://www.wikidata.org/entity/Q123050592,Ruth Rose Drew,http://www.wikidata.org/entity/Q3992,Luik,Woonplaats
http://www.wikidata.org/entity/Q123050592,Ruth Rose Drew,http://www.wikidata.org/entity/Q123634,Marylebone,Woonplaats
http://www.wikidata.org/entity/Q776556,Ryde,http://www.wikidata.org/entity/Q145,Verenigd Koninkrijk,In Land
http://www.wikidata.org/entity/Q189153,Saint-Cloud,http://www.wikidata.org/entity/Q142,Frankrijk,In Land
http://www.wikidata.org/entity/Q109571087,Saint-Pierre-lès-Calais,http://www.wikidata.org/entity/Q142,Frankrijk,In Land
http://www.wikidata.org/entity/Q38298881,Saint-Roch,http://www.wikidata.org/entity/Q31,België,In Land
http://www.wikidata.org/entity/Q1068891,Saint-Venant,http://www.wikidata.org/entity/Q142,Frankrijk,In Land
http://www.wikidata.org/entity/Q604222,Sainte-Adresse,http://www.wikidata.org/entity/Q142,Frankrijk,In Land
http://www.wikidata.org/entity/Q47952,Salford,http://www.wikidata.org/entity/Q145,Verenigd Koninkrijk,In Land
http://www.wikidata.org/entity/Q119006339,Samuel Roper,http://www.wikidata.org/entity/Q2660843,Bedminster,Sterfteplaats
http://www.wikidata.org/entity/Q119006339,Samuel Roper,http://www.wikidata.org/entity/Q23159,Dorset,Geboorteplaats
http://www.wikidata.org/entity/Q22544,Sarrebourg,http://www.wikidata.org/entity/Q142,Frankrijk,In Land
http://www.wikidata.org/entity/Q116508674,Savina L.J. van Caloen-de Gourcy,http://www.wikidata.org/entity/Q1296,Gent,Geboorteplaats
http://www.wikidata.org/entity/Q116508674,Savina L.J. van Caloen-de Gourcy,http://www.wikidata.org/entity/Q2340735,Loppem,Sterfteplaats
