source,target,Type,Weight,relationshipType
Q122971839,Q12994,Undirected,1,Sterfteplaats
Q122971839,Q1296,Undirected,1,Geboorteplaats
Q122971839,Q2490578,Undirected,1,Werklocatie
Q115818861,Q203312,Undirected,1,Sterfteplaats
Q115818861,Q2693056,Undirected,1,Geboorteplaats
Q115834833,Q822783,Undirected,1,Geboorteplaats
Q115834833,Q2248548,Undirected,1,Werklocatie
Q115834833,Q2248548,Undirected,1,Sterfteplaats
Q120164850,Q12994,Undirected,1,Sterfteplaats
Q120164850,Q12994,Undirected,1,Woonplaats
Q120164850,Q101254,Undirected,1,Geboorteplaats
Q716658,Q145,Undirected,1,In Land
Q2741141,Q31,Undirected,1,In Land
Q3474562,Q31,Undirected,1,In Land
Q739996,Q31,Undirected,1,In Land
Q115979812,Q3099657,Undirected,1,Geboorteplaats
Q115979812,Q623310,Undirected,1,Werklocatie
Q115979812,Q623310,Undirected,1,Sterfteplaats
Q115979812,Q499588,Undirected,1,Werklocatie
Q115979812,Q651811,Undirected,1,Werklocatie
Q115979812,Q3110836,Undirected,1,Werklocatie
Q2215154,Q499594,Undirected,1,Werklocatie
Q2215154,Q242407,Undirected,1,Geboorteplaats
Q2215154,Q1998586,Undirected,1,Sterfteplaats
Q2215154,Q1998586,Undirected,1,Werklocatie
Q2215154,Q3992,Undirected,1,Werklocatie
Q2215154,Q202954,Undirected,1,Werklocatie
Q120639934,Q2603716,Undirected,1,Geboorteplaats
Q120639934,Q12995,Undirected,1,Sterfteplaats
Q115818168,Q705013,Undirected,1,Werklocatie
Q115818168,Q44762,Undirected,1,Werklocatie
Q115818168,Q12995,Undirected,1,Werklocatie
Q115818168,Q2555902,Undirected,1,Sterfteplaats
Q115818168,Q2555902,Undirected,1,Woonplaats
Q115818168,Q44213,Undirected,1,Werklocatie
Q115818168,Q2568071,Undirected,1,Werklocatie
Q115818168,Q742876,Undirected,1,Geboorteplaats
Q115818168,Q3445977,Undirected,1,Werklocatie
Q115839088,Q12460,Undirected,1,Werklocatie
Q115839088,Q12460,Undirected,1,Sterfteplaats
Q115839088,Q12460,Undirected,1,Geboorteplaats
Q764378,Q9005,Undirected,1,Geboorteplaats
Q764378,Q203312,Undirected,1,Sterfteplaats
Q125535110,Q146659,Undirected,1,Woonplaats
Q125535110,Q29245,Undirected,1,Sterfteplaats
Q125535110,Q202059,Undirected,1,Geboorteplaats
Q125535110,Q36074,Undirected,1,Woonplaats
Q125535110,Q36074,Undirected,1,Werklocatie
Q122842403,Q9681,Undirected,1,Sterfteplaats
Q122842403,Q84,Undirected,1,Geboorteplaats
Q117246862,Q3110823,Undirected,1,Woonplaats
Q117246862,Q3110823,Undirected,1,Werklocatie
Q117246862,Q1901132,Undirected,1,Sterfteplaats
Q117246862,Q184287,Undirected,1,Geboorteplaats
Q117246862,Q184287,Undirected,1,Woonplaats
Q2490990,Q614274,Undirected,1,Geboorteplaats
Q2490990,Q12995,Undirected,1,Sterfteplaats
Q2490990,Q12995,Undirected,1,Werklocatie
Q2059291,Q12994,Undirected,1,Geboorteplaats
Q2059291,Q12994,Undirected,1,Sterfteplaats
Q2658862,Q301745,Undirected,1,Werklocatie
Q2658862,Q12994,Undirected,1,Sterfteplaats
Q2658862,Q12994,Undirected,1,Werklocatie
Q2658862,Q12994,Undirected,1,Geboorteplaats
Q2658862,Q815948,Undirected,1,Werklocatie
Q2658862,Q822748,Undirected,1,Werklocatie
Q2658862,Q498655,Undirected,1,Werklocatie
Q2658862,Q2731701,Undirected,1,Werklocatie
Q2658862,Q1884650,Undirected,1,Werklocatie
Q115813025,Q12994,Undirected,1,Woonplaats
Q115813025,Q2676933,Undirected,1,Woonplaats
Q115813025,Q2676933,Undirected,1,Sterfteplaats
Q115813025,Q430812,Undirected,1,Woonplaats
Q115813025,Q208793,Undirected,1,Geboorteplaats
Q120999304,Q13121,Undirected,1,Sterfteplaats
Q120999304,Q13121,Undirected,1,Werklocatie
Q120999304,Q3474562,Undirected,1,Werklocatie
Q120999304,Q2802143,Undirected,1,Werklocatie
Q120999304,Q580315,Undirected,1,Geboorteplaats
Q120999304,Q13127,Undirected,1,Werklocatie
Q115825488,Q12994,Undirected,1,Werklocatie
Q115825488,Q12994,Undirected,1,Sterfteplaats
Q115825488,Q2692740,Undirected,1,Werklocatie
Q115825488,Q2351222,Undirected,1,Werklocatie
Q115825488,Q499588,Undirected,1,Werklocatie
Q115825488,Q211037,Undirected,1,Werklocatie
Q115825488,Q208793,Undirected,1,Geboorteplaats
Q115844105,Q12994,Undirected,1,Werklocatie
Q115844105,Q2117660,Undirected,1,Werklocatie
Q115844105,Q2333747,Undirected,1,Werklocatie
Q115844105,Q2333747,Undirected,1,Sterfteplaats
Q115844105,Q12995,Undirected,1,Geboorteplaats
Q115844105,Q12996,Undirected,1,Werklocatie
Q115844105,Q284691,Undirected,1,Werklocatie
Q115979130,Q2510121,Undirected,1,Werklocatie
Q115979130,Q12994,Undirected,1,Sterfteplaats
Q115979130,Q12994,Undirected,1,Werklocatie
Q115979130,Q12994,Undirected,1,Geboorteplaats
Q115979130,Q215244,Undirected,1,Werklocatie
Q115979130,Q12996,Undirected,1,Werklocatie
Q115979130,Q822777,Undirected,1,Werklocatie
Q115979130,Q651811,Undirected,1,Werklocatie
Q115835531,Q239,Undirected,1,Sterfteplaats
Q115835531,Q2512929,Undirected,1,Geboorteplaats
Q115840920,Q623310,Undirected,1,Geboorteplaats
Q115840920,Q47952,Undirected,1,Sterfteplaats
Q115840920,Q47952,Undirected,1,Werklocatie
Q115823355,Q842943,Undirected,1,Werklocatie
Q115823355,Q12012813,Undirected,1,Werklocatie
Q115823355,Q912069,Undirected,1,Geboorteplaats
Q115823355,Q840968,Undirected,1,Werklocatie
Q115823355,Q2786493,Undirected,1,Werklocatie
Q115823355,Q2786493,Undirected,1,Sterfteplaats
Q408,Q408,Undirected,1,In Land
Q177133,Q31,Undirected,1,In Land
Q842943,Q31,Undirected,1,In Land
Q2878342,Q31,Undirected,1,In Land
Q723651,Q31,Undirected,1,In Land
Q17856,Q408,Undirected,1,In Land
Q1492,Q29,Undirected,1,In Land
Q4865289,Q1761,Undirected,1,Werklocatie
Q4865289,Q1761,Undirected,1,Sterfteplaats
Q4865289,Q1761,Undirected,1,Geboorteplaats
Q4865580,Q145,Undirected,1,In Land
Q22889,Q145,Undirected,1,In Land
Q4869146,Q145,Undirected,1,In Land
Q705013,Q31,Undirected,1,In Land
Q41890,Q145,Undirected,1,In Land
Q2660843,Q145,Undirected,1,In Land
Q687921,Q31,Undirected,1,In Land
Q2789957,Q31,Undirected,1,In Land
