ID,Label,Type,Image,birthPlaceLabel,copybirthplace,coordinate location,coordinate location 1,Final Latitude,coordinate location 2,Final Longitude,birthCountryLabel,deathPlaceLabel,deathCountryLabel,Samengestelde werkplaatsen,Samengestelde woonplaatsen,Bijhorendland,BijhorendlandLabel,CopyID,Latitude,Longitude
Q120164850,Arthur Robinson,Person,,Newport,Newport,"41.488002,-71.312622",41.488002,41.488002,-71.312622,-71.312622,Verenigd Koninkrijk,Brugge,België,,,,,Q120164850,,
Q115979812,August Busschaert,Person,,Marke,Marche,"43.316666666667,13",43.316666666667,43.316666666667,13,13,België,Nieuwpoort,België,,,,,Q115979812,,
Q2215154,August Cuppens,Person,,Beringen,Beringen,"47.69643,8.57543",47.69643,47.69643,8.57543,8.57543,België,Loksbergen,België,,,,,Q2215154,,
Q120639934,August Delbaere,Person,,Aalbeke,Aalbeke,"50.7781,3.2294",50.7781,50.7781,3.2294,3.2294,België,Kortrijk,België,,,,,Q120639934,,
Q115818168,August Hoflack,Person,,Staden,Freetown Christiania,"55.673588888889,12.599711111111",55.673588888889,55.673588888889,12.599711111111,12.599711111111,België,Oostvleteren,België,,,,,Q115818168,,
Q115839088,August Laporta,Person,,Lier,Lier,"51.13111111111111,4.5697222222222225",51.13111111111111,51.13111111111111,4.5697222222222225,4.5697222222222225,België,Lier,België,,,,,Q115839088,,
Q119625085,August Selosse,Person,,,,,,,,,,,,,,,,Q119625085,,
Q764378,August Vermeylen,Person,http://commons.wikimedia.org/wiki/Special:FilePath/AugustVermeylen2.jpg,Stedelijk gebied Brussel,Brussels metropolitan area,"50.846666666667,4.3525",50.846666666667,50.846666666667,4.3525,4.3525,België,Ukkel,België,,,,,Q764378,,
Q125535110,August William McDonogh,Person,,Lambeth,Lambeth,"51.4903,-0.1193",51.4903,51.4903,-0.1193,-0.1193,Verenigd Koninkrijk,Hastings,Verenigd Koninkrijk,,,,,Q125535110,,
Q122842403,Augusta Lewis Bampfield,Person,,Londen,London,"51.507222222222,-0.1275",51.507222222222,51.507222222222,-0.1275,-0.1275,Verenigd Koninkrijk,Hertford,Verenigd Koninkrijk,,,,,Q122842403,,
Q117246862,Augusta Maria Mathildis Vyncke,Person,,Zedelgem,Zedelgem,"51.1431,3.1361",51.1431,51.1431,3.1361,3.1361,België,Snellegem,België,,,,,Q117246862,,
Q2490990,Auguste Reynaert,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Kortrijk%20Astridpark-11.JPG,Anzegem,Anzegem,"50.8336,3.4783",50.8336,50.8336,3.4783,3.4783,België,Kortrijk,België,,,,,Q2490990,,
Q2059291,Auguste Reyns,Person,,Brugge,Bruges,"51.208888888888886,3.2241666666666666",51.208888888888886,51.208888888888886,3.2241666666666666,3.2241666666666666,België,Brugge,België,,,,,Q2059291,,
Q2658862,Auguste Van Speybrouck,Person,,Brugge,Bruges,"51.208888888888886,3.2241666666666666",51.208888888888886,51.208888888888886,3.2241666666666666,3.2241666666666666,België,Brugge,België,,,,,Q2658862,,
Q115813025,Auguste de Laage de Bellefaye,Person,,Sint-Omaars,Saint-Omer,"50.748333333333,2.2608333333333",50.748333333333,50.748333333333,2.2608333333333,2.2608333333333,Frankrijk,Sint-Andries,België,,,,,Q115813025,,
Q120999304,Augustijn Van Heuverswyn,Person,,Nazareth,Nérac,"44.136111111111,0.33944444444444",44.136111111111,44.136111111111,0.33944444444444,0.33944444444444,België,Aalst,België,,,,,Q120999304,,
Q115825488,Augustin Frutsaert,Person,,Sint-Omaars,Saint-Omer,"50.748333333333,2.2608333333333",50.748333333333,50.748333333333,2.2608333333333,2.2608333333333,Frankrijk,Brugge,België,,,,,Q115825488,,
Q115844105,Augustin Van Becelaere,Person,,Kortrijk,Kortrijk,"50.8275,3.265833333333333",50.8275,50.8275,3.265833333333333,3.265833333333333,België,Kachtem,België,,,,,Q115844105,,
Q115979130,Augustinus De Geetere,Person,,Brugge,Bruges,"51.208888888888886,3.2241666666666666",51.208888888888886,51.208888888888886,3.2241666666666666,3.2241666666666666,België,Brugge,België,,,,,Q115979130,,
Q115835531,Augustinus Ghequiere,Person,,Rollegem,Rollegem,"50.7686,3.2622",50.7686,50.7686,3.2622,3.2622,België,Brussel,België,,,,,Q115835531,,
Q115840920,Augustus Declerc,Person,,Nieuwpoort,Nieuwpoort,"51.129444444444,2.7513888888889",51.129444444444,51.129444444444,2.7513888888889,2.7513888888889,België,Salford,Verenigd Koninkrijk,,,,,Q115840920,,
Q115823355,Augustus Rodts,Person,,Knesselare,Knesselare,"51.1389,3.4139",51.1389,51.1389,3.4139,3.4139,België,Middelburg,België,,,,,Q115823355,,
Q4865289,Bartholomew Woodlock,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Bartholomew%20Woodlock%2C%20portrait.png,Dublin,Dublin,"53.34972222222222,-6.260277777777778",53.34972222222222,53.34972222222222,-6.260277777777778,-6.260277777777778,Ierland,Dublin,Ierland,,,,,Q4865289,,
Q115826830,Benedictus Goeman,Person,,Heldergem,Haaltert,"50.9,4",50.9,50.9,4,4,België,Moerzeke,België,,,,,Q115826830,,
Q822307,Bernard Bernard,Person,http://commons.wikimedia.org/wiki/Special:FilePath/%28Baumg1889%29%20Bernard%20Bernard%20%28Kathol.%20Missionar%20auf%20Island%29.jpg,Mogues,Mogues,"49.651388888889,5.2791666666667",49.651388888889,49.651388888889,5.2791666666667,5.2791666666667,Frankrijk,Noirétable,Frankrijk,,,,,Q822307,,
Q122884053,Bernard Joseph Weale,Person,,Brugge,Bruges,"51.208888888888886,3.2241666666666666",51.208888888888886,51.208888888888886,3.2241666666666666,3.2241666666666666,België,Australië,Australië,,,,,Q122884053,,
Q115812384,Bernardus Josephus Colier,Person,,Brugge,Bruges,"51.208888888888886,3.2241666666666666",51.208888888888886,51.208888888888886,3.2241666666666666,3.2241666666666666,België,Westkapelle,België,,,,,Q115812384,,
Q122818902,Bertha Wachowsky,Person,,Münster,Münster,"51.9625,7.6255555555556",51.9625,51.9625,7.6255555555556,7.6255555555556,Duitsland,,,,,,,Q122818902,,
Q115829623,Bruno De Splenter,Person,,Ooigem,Ooigem,"50.8925,3.3364",50.8925,50.8925,3.3364,3.3364,België,Kortrijk,België,,,,,Q115829623,,
Q115836783,Bruno Joseph Jean Vandale,Person,,Kortrijk,Kortrijk,"50.8275,3.265833333333333",50.8275,50.8275,3.265833333333333,3.265833333333333,België,Poperinge,België,,,,,Q115836783,,
Q115839360,Bruno Van Hove,Person,http://commons.wikimedia.org/wiki/Special:FilePath/A%20Monsieur%20le%20chanoine%20Van%20Hove%2C%201869%2C%20Musea%20Brugge%2C%200020.GRO0352.III.jpg,Izegem,Izegem,"50.9172,3.215",50.9172,50.9172,3.215,3.215,België,Tielt,België,,,,,Q115839360,,
Q115308515,Bruno Vander Stichele,Person,,Gullegem,Gullegem,"50.8422,3.2056",50.8422,50.8422,3.2056,3.2056,België,Gullegem,België,,,,,Q115308515,,
Q2154331,Caesar Gezelle,Person,,Brugge,Bruges,"51.208888888888886,3.2241666666666666",51.208888888888886,51.208888888888886,3.2241666666666666,3.2241666666666666,België,Moorslede,België,,,,,Q2154331,,
Q2154331,Caesar Gezelle,Person,,Brugge,Bruges,"51.208888888888886,3.2241666666666666",51.208888888888886,51.208888888888886,3.2241666666666666,3.2241666666666666,België,Moorsele,België,,,,,Q2154331,,
Q115840234,Camiel Roelandts,Person,,Ingelmunster,Ingelmunster,"50.9208,3.2533",50.9208,50.9208,3.2533,3.2533,België,Harelbeke,België,,,,,Q115840234,,
Q120729190,Camiel-Hector Marichal,Person,,Beernem,Beernem,"51.1428,3.3408",51.1428,51.1428,3.3408,3.3408,België,Argentinië,Argentinië,,,,,Q120729190,,
Q117409336,Camille Lateur,Person,,Avelgem,Avelgem,"50.7753,3.4442",50.7753,50.7753,3.4442,3.4442,België,Avelgem,België,,,,,Q117409336,,
Q2203619,Camille Looten,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Canon%20Camille%20Looten.jpg,Noordpene,Noordpeene,"50.806111111111,2.3980555555556",50.806111111111,50.806111111111,2.3980555555556,2.3980555555556,Frankrijk,Rijsel,Frankrijk,,,,,Q2203619,,
Q123689972,Camillus Delaere,Person,,Hulste,Hulste,"50.8819,3.2958",50.8819,50.8819,3.2958,3.2958,België,Sint-Andries,België,,,,,Q123689972,,
Q5026719,Camillus Paul Maes,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Bishop%20Camillus%20Paul%20Maes.jpg,Kortrijk,Kortrijk,"50.8275,3.265833333333333",50.8275,50.8275,3.265833333333333,3.265833333333333,België,Covington,Verenigde Staten,,,,,Q5026719,,
Q123399443,Carolina Theresia Lefebvre,Person,,Kortrijk,Kortrijk,"50.8275,3.265833333333333",50.8275,50.8275,3.265833333333333,3.265833333333333,België,Kortrijk,België,,,,,Q123399443,,
Q122775600,Caroline Harriet Locke,Person,,Newcastle West,Newcastle West,"52.450988,-9.054623",52.450988,52.450988,-9.054623,-9.054623,Ierland,Sarrebourg,Frankrijk,,,,,Q122775600,,
Q115982585,Carolus Ludovicus Brondel,Person,,Brugge,Bruges,"51.208888888888886,3.2241666666666666",51.208888888888886,51.208888888888886,3.2241666666666666,3.2241666666666666,België,Brugge,België,,,,,Q115982585,,
Q115811027,Carolus Ludovicus Crupelant,Person,,Gullegem,Gullegem,"50.8422,3.2056",50.8422,50.8422,3.2056,3.2056,België,Roesbrugge-Haringe,België,,,,,Q115811027,,
Q136759863,Carolus Philippus Joannes Marie Josephus de Patin de Langemarck,Person,,Langemark,Langemark,"50.9133,2.9181",50.9133,50.9133,2.9181,2.9181,België,Langemark,België,,,,,Q136759863,,
Q115839380,Carolus Surmont,Person,,Zevekote,Zevekote,"51.1372,2.9211",51.1372,51.1372,2.9211,2.9211,België,Zevekote,België,,,,,Q115839380,,
Q115838420,Carolus Van den Broucke,Person,,Eernegem,Eernegem,"51.1297,3.0275",51.1297,51.1297,3.0275,3.0275,België,Moorslede,België,,,,,Q115838420,,
Q115979029,Casimir Affenaer,Person,,Menen,Menen,"50.795555555556,3.1216666666667",50.795555555556,50.795555555556,3.1216666666667,3.1216666666667,België,Veurne,België,,,,,Q115979029,,
Q111744944,Casper Lambertus van Langenhuijsen,Person,,s-Hertogenbosch,'s-Hertogenbosch,"51.6892,5.3031",51.6892,51.6892,5.3031,5.3031,Nederland,Amsterdam,Nederland,,,,,Q111744944,,
Q116621487,Catharine Macdaniel,Person,,Londen,London,"51.507222222222,-0.1275",51.507222222222,51.507222222222,-0.1275,-0.1275,Verenigd Koninkrijk,Londen,Verenigd Koninkrijk,,,,,Q116621487,,
Q122830932,Catherine Hart,Person,,Dublin,Dublin,"53.34972222222222,-6.260277777777778",53.34972222222222,53.34972222222222,-6.260277777777778,-6.260277777777778,Ierland,Brighton,Verenigd Koninkrijk,,,,,Q122830932,,
Q123422368,Catherine O'Farrell,Person,,Belfast,Belfast,"54.596666666666664,-5.93",54.596666666666664,54.596666666666664,-5.93,-5.93,Verenigd Koninkrijk,,,,,,,Q123422368,,
Q122853878,Catherine Simpson Mackenzie,Person,,Fortrose,Fortrose,"57.5815,-4.13237",57.5815,57.5815,-4.13237,-4.13237,Verenigd Koninkrijk,,,,,,,Q122853878,,
Q116620739,Catherine de Kyvere,Person,,Heule,Heule,"50.8428,3.2353",50.8428,50.8428,3.2353,3.2353,België,,,,,,,Q116620739,,
