person,personLabel,relatieItemLabel,richting,wikidataLink,wikipediaLink,commonsLink,image,bioPortaalLink,viafLink
http://www.wikidata.org/entity/Q116621811,Marguerite Marie Josephine Sonck,student van,Persoon naar Guido,https://www.wikidata.org/wiki/Q116621811,,,,,
http://www.wikidata.org/entity/Q116621725,Maria Constantia Gezelle,familielid,Persoon naar Guido,https://www.wikidata.org/wiki/Q116621725,,,,,
http://www.wikidata.org/entity/Q118765627,Maria Janssens,student van,Persoon naar Guido,https://www.wikidata.org/wiki/Q118765627,,,,,
http://www.wikidata.org/entity/Q116659577,Maria Josepha Gezelle,familielid,Persoon naar Guido,https://www.wikidata.org/wiki/Q116659577,,,,,
http://www.wikidata.org/entity/Q119418028,Maria Louisa Lateur,familielid,Persoon naar Guido,https://www.wikidata.org/wiki/Q119418028,,,,,
http://www.wikidata.org/entity/Q117265039,Maria Ludovica Charlotta Lauwers,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q117265039,,,,,
http://www.wikidata.org/entity/Q116621699,Maria Magdalena Gezelle,familielid,Persoon naar Guido,https://www.wikidata.org/wiki/Q116621699,,https://commons.wikimedia.org/wiki/Category:Maria Magdalena Gezelle,http://commons.wikimedia.org/wiki/Special:FilePath/Foto%20Philomena%20De%20Smet%2C%20Maria%20Gezelle%20en%20Hortense%20Gezelle%20%28cropped%29.jpg,,
http://www.wikidata.org/entity/Q116673220,Maria Philomena Lateur,familielid,Persoon naar Guido,https://www.wikidata.org/wiki/Q116673220,,,,,
http://www.wikidata.org/entity/Q125232852,Maria Theresia De Vriese,familielid,Persoon naar Guido,https://www.wikidata.org/wiki/Q125232852,,,,,
http://www.wikidata.org/entity/Q119397067,Maria Theresia Debusschere,familielid,Persoon naar Guido,https://www.wikidata.org/wiki/Q119397067,,,,,
http://www.wikidata.org/entity/Q116672748,Marie Elise Amandine Lateur,familielid,Persoon naar Guido,https://www.wikidata.org/wiki/Q116672748,https://nl.wikipedia.org/wiki/Elisa_Lateur,,http://commons.wikimedia.org/wiki/Special:FilePath/Foto%20Caesar%20Gezelle%2C%20Philomena%20De%20Smet%20en%20Elisa%20Lateur.jpg,,
http://www.wikidata.org/entity/Q129159907,Marie Louise Philomène Devrome,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q129159907,,,,,
http://www.wikidata.org/entity/Q128053464,Marie Thérèse Courtens,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q128053464,,,,,
http://www.wikidata.org/entity/Q132134843,Marie Verhamme,familielid,Persoon naar Guido,https://www.wikidata.org/wiki/Q132134843,,,,,
http://www.wikidata.org/entity/Q116509131,Marie-Sophie Deschryver,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q116509131,,,,,
http://www.wikidata.org/entity/Q132321506,Martine De Zitter,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q132321506,,,,,
http://www.wikidata.org/entity/Q119217815,Martinus Coune,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q119217815,,,,,
http://www.wikidata.org/entity/Q116510958,Mary Ann F. Andrewes,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q116510958,,,,,
http://www.wikidata.org/entity/Q116510998,Mary Anne Macdaniel,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q116510998,,,,,
http://www.wikidata.org/entity/Q122842204,Mary Louisa Farbrother,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q122842204,,,,,
http://www.wikidata.org/entity/Q116621328,Mary Lucy Vavasour,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q116621328,,,,,
http://www.wikidata.org/entity/Q116621552,Mathilde Catteeuw,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q116621552,,,http://commons.wikimedia.org/wiki/Special:FilePath/Doodsprentje%20Mathilde%20Catteeuw.tif,,
http://www.wikidata.org/entity/Q125224053,Mathilde De Kyvere,familielid,Persoon naar Guido,https://www.wikidata.org/wiki/Q125224053,,,,,
http://www.wikidata.org/entity/Q125218763,Mathilde De Vriese,familielid,Persoon naar Guido,https://www.wikidata.org/wiki/Q125218763,,,,,
http://www.wikidata.org/entity/Q119414177,Mathilde Gezelle,familielid,Persoon naar Guido,https://www.wikidata.org/wiki/Q119414177,,,,,
http://www.wikidata.org/entity/Q125236669,Mathilde Guislena De Vriese,familielid,Persoon naar Guido,https://www.wikidata.org/wiki/Q125236669,,,,,
http://www.wikidata.org/entity/Q121053317,Maurice Vander Haeghen,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q121053317,,,,,
http://www.wikidata.org/entity/Q2413334,Max Rooses,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q2413334,https://nl.wikipedia.org/wiki/Max_Rooses,https://commons.wikimedia.org/wiki/Category:Max Rooses,http://commons.wikimedia.org/wiki/Special:FilePath/Max%20Rooses.jpg,,https://viaf.org/viaf/46856803
http://www.wikidata.org/entity/Q125559455,Medardus Van De Poele,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q125559455,,,,,
http://www.wikidata.org/entity/Q125218820,Melanie De Vriese,familielid,Persoon naar Guido,https://www.wikidata.org/wiki/Q125218820,,,,,
http://www.wikidata.org/entity/Q118612085,Michael Buckley,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q118612085,,,,,
http://www.wikidata.org/entity/Q119396108,Michaël Dominique Gezelle,familielid,Persoon naar Guido,https://www.wikidata.org/wiki/Q119396108,,,,,
http://www.wikidata.org/entity/Q125377258,Michel Bianchi,werkt samen met,Persoon naar Guido,https://www.wikidata.org/wiki/Q125377258,,,,,
